Datum;Antal
2019M01;2 598 011
2019M02;2 544 109
2019M03;2 968 119
2019M04;3 090 769
2019M05;3 434 097
2019M06;3 711 862
2019M07;3 736 721
2019M08;3 611 125
2019M09;3 504 090
2019M10;3 314 621
2019M11;2 735 231
2019M12;2 672 169
2020M01;2 505 698
2020M02;2 453 764
2020M03;1 200 333
2020M04;53 642
2020M05;70 603
2020M06;154 684
2020M07;436571
2020M08;597 262
2020M09;570 298
2020M10;656 117
2020M11;348 104
2020M12;374 400
2021M01;311 438
2021M02;229 107
2021M03;288 166
2021M04;316 660
2021M05;390 559
2021M06;708 616
2021M07;1 364 388
2021M08;1 432 093
2021M09;1 341 598
2021M10;1 554 304
2021M11;1 510 341
2021M12;1 414 557
2022M01;1 021 622
2022M02;1 057 732
2022M03;1 561 402
2022M04;2 042 262
2022M05;2 399 765
2022M06;2 660 578
2022M07;2 710 897
2022M08;2 653 533
2022M09;2 588 753
2022M10;2 470 927
2022M11;2 078 212
2022M12;2 040 541
